CA,Left,Bottom,Right,Top,Radius
Comunidad Madrid,-4.6582561769,39.9748669758,-2.9883343019,41.1433555975,50
Andalucía,-7.3608928957,36.091123482,-1.8677288332,38.7089382339,167
Murcia,-1.9995647707,37.4114649992,-0.6812053957,38.7432219804,60
Comunidad Valenciana,-1.3187640555,37.9149106621,0.4170757882,40.7357729054,86
Galicia,-9.272865618,41.9563884613,-6.7460101493,43.7918783424,97
Cataluña,0.2412945382,40.6524744505,3.1856304757,42.8648554486,101
Castilla-La Mancha,-5.1200335868,38.5363102045,-1.099037493,40.1000955744,159
Castilla-León,-6.724037493,40.2511933613,-4.1971820243,42.9292421742,173
Aragón,-1.977943743,40.2763436097,0.5159527413,42.9533698628,123
Baleares,0.922446882,38.5706766072,4.6358257882,40.3266160517,40
Canarias,-18.6485956232,27.5357879432,-13.3131420503,29.2176166518,49
Extremadura,-7.3695385347,37.9513381712,-4.9745190034,40.3785573186,115
Navarra,-2.0027172456,41.998890028,-0.8326733003,43.3077858701,57
La Rioja,-3.1672680269,41.9212792974,-1.7225658784,42.640620235,40
País Vasco,-3.4062206636,42.719367204,-1.8104565034,43.4295801217,48
Cantabria,-4.9195873628,42.8322652128,-3.1727611909,43.5411759,41
Asturias,-7.0893871675,42.8966859394,-4.5570385347,43.6048523487,58
